instance_id,genre
1,Opera
2,Hip-Hop
3,Blues
4,Alternative
5,Jazz
6,Blues
7,Hip-Hop
8,Blues
9,R&B
10,R&B
11,Opera
12,Opera
13,Classical
14,Jazz
15,Hip-Hop
16,Jazz
17,Blues
18,Opera
19,Opera
20,Comedy
21,Comedy
22,Opera
23,R&B
24,Comedy
25,Opera
26,Folk
27,Opera
28,Opera
29,Jazz
30,R&B
31,Blues
32,Pop
33,Hip-Hop
34,Blues
35,Alternative
36,R&B
37,Comedy
38,Alternative
39,Opera
40,Blues
41,Blues
42,Classical
43,Blues
44,Blues
45,Hip-Hop
46,Opera
47,Comedy
48,Hip-Hop
49,Blues
50,Blues
51,Blues
52,R&B
53,Blues
54,Hip-Hop
55,Hip-Hop
56,Jazz
57,R&B
58,Opera
59,Comedy
60,Alternative
61,R&B
62,Pop
63,Blues
64,R&B
65,Opera
66,Blues
67,Comedy
68,Alternative
69,R&B
70,R&B
71,R&B
72,R&B
73,Pop
74,Opera
75,Alternative
76,Pop
77,Opera
78,Blues
79,Comedy
80,Blues
81,Pop
82,R&B
83,Classical
84,Alternative
85,Blues
86,Alternative
87,Alternative
88,Hip-Hop
89,Opera
90,Opera
91,Opera
92,Hip-Hop
93,Folk
94,Opera
95,Comedy
96,Blues
97,Blues
98,Pop
99,Opera
100,Blues
101,Hip-Hop
102,Opera
103,Pop
104,Alternative
105,Pop
106,Alternative
107,Jazz
108,R&B
109,Hip-Hop
110,Pop
111,Blues
112,Comedy
113,Hip-Hop
114,Hip-Hop
115,Opera
116,Alternative
117,Jazz
118,R&B
119,Classical
120,Folk
121,Folk
122,Classical
123,R&B
124,Blues
125,Blues
126,Comedy
127,Opera
128,Blues
129,R&B
130,Pop
131,Blues
132,Pop
133,Alternative
134,Alternative
135,Opera
136,Classical
137,Blues
138,Opera
139,Alternative
140,Comedy
141,Jazz
142,R&B
143,R&B
144,Comedy
145,Alternative
146,Alternative
147,Comedy
148,Pop
149,Opera
150,Opera
151,R&B
152,Jazz
153,Alternative
154,Comedy
155,R&B
156,Pop
157,Jazz
158,R&B
159,Pop
160,Alternative
161,Hip-Hop
162,Pop
163,Opera
164,Jazz
165,Classical
166,R&B
167,Jazz
168,R&B
169,Alternative
170,Hip-Hop
171,Pop
172,Pop
173,Blues
174,R&B
175,Opera
176,Pop
177,Folk
178,Opera
179,Comedy
180,Opera
181,Alternative
182,Pop
183,Comedy
184,Opera
185,R&B
186,Alternative
187,Opera
188,R&B
189,Blues
190,Opera
191,Folk
192,Jazz
193,Opera
194,Classical
195,R&B
196,Opera
197,Opera
198,Comedy
199,Classical
200,Blues
201,Opera
202,Opera
203,R&B
204,Blues
205,Comedy
206,Pop
207,Opera
208,Opera
209,Jazz
210,Jazz
211,Opera
212,Opera
213,Opera
214,Folk
215,Alternative
216,Opera
217,Pop
218,Pop
219,Folk
220,Folk
221,Opera
222,Comedy
223,Comedy
224,Opera
225,Comedy
226,Pop
227,Opera
228,Jazz
229,R&B
230,Hip-Hop
231,Alternative
232,R&B
233,Hip-Hop
234,Comedy
235,Comedy
236,Folk
237,Alternative
238,Opera
239,R&B
240,Pop
241,Jazz
242,Hip-Hop
243,Folk
244,Alternative
245,Classical
246,Hip-Hop
247,Blues
248,Folk
249,Opera
250,R&B
251,Blues
252,Jazz
253,Comedy
254,Hip-Hop
255,Pop
256,Pop
257,Pop
258,R&B
259,Opera
260,Jazz
261,R&B
262,Opera
263,Opera
264,Alternative
265,Alternative
266,Blues
267,Blues
268,Blues
269,Opera
270,Pop
271,Hip-Hop
272,Opera
273,Hip-Hop
274,Blues
275,R&B
276,Classical
277,Hip-Hop
278,Hip-Hop
279,Hip-Hop
280,Blues
281,Pop
282,Jazz
283,Pop
284,R&B
285,R&B
286,Alternative
287,R&B
288,Comedy
289,Opera
290,Jazz
291,Pop
292,Hip-Hop
293,Hip-Hop
294,Blues
295,Alternative
296,Opera
297,Alternative
298,Pop
299,Blues
300,Opera
301,Hip-Hop
302,Hip-Hop
303,Blues
304,Opera
305,Comedy
306,Classical
307,Pop
308,Jazz
309,Folk
310,Pop
311,Opera
312,Hip-Hop
313,Alternative
314,Blues
315,Opera
316,R&B
317,Alternative
318,Opera
319,Alternative
320,Alternative
321,Jazz
322,Folk
323,Blues
324,R&B
325,Jazz
326,Blues
327,Opera
328,Opera
329,Opera
330,Jazz
331,Opera
332,Opera
333,Opera
334,Comedy
335,Opera
336,Blues
337,Pop
338,Comedy
339,Opera
340,Alternative
341,Folk
342,Opera
343,Folk
344,Alternative
345,Alternative
346,Blues
347,Hip-Hop
348,R&B
349,Jazz
350,Pop
351,Pop
352,Blues
353,Blues
354,Jazz
355,Opera
356,Blues
357,Opera
358,Jazz
359,Classical
360,Jazz
361,Alternative
362,Blues
363,Opera
364,Alternative
365,Jazz
366,Comedy
367,Classical
368,Alternative
369,Blues
370,Opera
371,Comedy
372,Alternative
373,Alternative
374,Blues
375,Blues
376,Hip-Hop
377,Opera
378,Hip-Hop
379,Alternative
380,Blues
381,Opera
382,Blues
383,Pop
384,Opera
385,Opera
386,Pop
387,Comedy
388,Folk
389,Pop
390,Opera
391,Alternative
392,R&B
393,Comedy
394,Folk
395,Folk
396,Opera
397,Folk
398,Opera
399,Pop
400,Folk
401,Jazz
402,Hip-Hop
403,Folk
404,Classical
405,Pop
406,Blues
407,Opera
408,Comedy
409,Folk
410,Alternative
411,Blues
412,Classical
413,Hip-Hop
414,Blues
415,Opera
416,Opera
417,Folk
418,Opera
419,Jazz
420,Opera
421,Classical
422,Blues
423,Blues
424,Opera
425,Opera
426,Opera
427,Opera
428,Comedy
429,Alternative
430,Comedy
431,Opera
432,Alternative
433,Classical
434,Blues
435,Blues
436,Comedy
437,Jazz
438,Hip-Hop
439,Comedy
440,Classical
441,Comedy
442,Opera
443,Opera
444,R&B
445,Alternative
446,Hip-Hop
447,Blues
448,Opera
449,Jazz
450,Opera
451,Opera
452,Opera
453,Opera
454,Opera
455,Opera
456,Blues
457,R&B
458,Opera
459,Opera
460,Opera
461,Hip-Hop
462,Jazz
463,Comedy
464,R&B
465,R&B
466,Opera
467,Hip-Hop
468,R&B
469,Blues
470,Hip-Hop
471,Comedy
472,R&B
473,Alternative
474,Blues
475,Blues
476,Opera
477,Pop
478,Blues
479,Hip-Hop
480,Hip-Hop
481,Jazz
482,Comedy
483,Blues
484,Classical
485,R&B
486,Blues
487,Opera
488,Blues
489,Hip-Hop
490,Alternative
491,Opera
492,Opera
493,Opera
494,Comedy
495,Blues
496,Blues
497,Opera
498,Opera
499,Folk
500,Classical
501,Jazz
502,R&B
503,Opera
504,Pop
505,Opera
506,Jazz
507,Opera
508,Hip-Hop
509,Opera
510,Opera
511,Pop
512,Jazz
513,Blues
514,Classical
515,Jazz
516,R&B
517,Jazz
518,Opera
519,Alternative
520,Blues
521,Alternative
522,Blues
523,Opera
524,Hip-Hop
525,Opera
526,Pop
527,Blues
528,Pop
529,Pop
530,Blues
531,Hip-Hop
532,Blues
533,Pop
534,Pop
535,Hip-Hop
536,R&B
537,Jazz
538,Jazz
539,Hip-Hop
540,Alternative
541,Hip-Hop
542,Blues
543,Hip-Hop
544,Pop
545,Pop
546,Classical
547,Pop
548,Hip-Hop
549,Alternative
550,Opera
551,Pop
552,R&B
553,Hip-Hop
554,Blues
555,Folk
556,R&B
557,Opera
558,Alternative
559,Pop
560,Opera
561,Hip-Hop
562,Hip-Hop
563,Pop
564,Blues
565,Opera
566,Comedy
567,Blues
568,Comedy
569,Alternative
570,Folk
571,Blues
572,Pop
573,Comedy
574,Blues
575,Opera
576,Opera
577,R&B
578,Jazz
579,Comedy
580,Opera
581,Jazz
582,Folk
583,Opera
584,Opera
585,Blues
586,Alternative
587,R&B
588,Alternative
589,Opera
590,Opera
591,Pop
592,Opera
593,Alternative
594,Classical
595,Blues
596,R&B
597,Opera
598,Folk
599,Opera
600,R&B
601,Alternative
602,Alternative
603,Pop
604,Alternative
605,Blues
606,Blues
607,Folk
608,Folk
609,Opera
610,Jazz
611,Comedy
612,Blues
613,Opera
614,Blues
615,Pop
616,Folk
617,Alternative
618,Opera
619,Comedy
620,Blues
